,Unnamed: 0,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Weekly Hour,How Many New Clothes Monthly,How Long Internet Weekly Hours,Energy efficiency,Recycling,Cooking_With,CarbonEmission
10,10,normal,female,vegetarian,more frequently,wood,public,,never,139.6852501691149,never,1561,extra large,1.1003463126268387,0.0,10.42296161402069,99.98554991768218,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427
11,11,obese,male,vegetarian,more frequently,coal,walk/bicycle,,never,322.31630638488525,very frequently,69,medium,6.128786251800103,5.971477025572135,8.322785379865456,43.07037230074618,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226
12,12,underweight,female,omnivore,twice a day,coal,walk/bicycle,,often,335.015822958489,rarely,92,large,6.468936097560554,35.79152686123257,0.0,96.5449445832035,Yes,['Plastic'],['Stove'],1593
13,13,underweight,female,vegan,less frequently,electricity,private,lpg,sometimes,93.3475528424828,rarely,2893,large,7.676239768314593,45.07798240967039,8.175812099685398,53.82619808818286,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732
14,14,obese,male,pescatarian,less frequently,natural gas,public,,often,233.53395625660744,rarely,1989,small,4.585890211986907,7.0564262986220925,16.42036425671083,35.85824916257681,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743
15,15,overweight,female,vegetarian,less frequently,electricity,public,,never,153.76548160790364,very frequently,692,small,3.559027451352792,35.909519217784734,0.0,88.41796016480654,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101
16,16,normal,male,pescatarian,more frequently,electricity,walk/bicycle,,often,277.7872975534314,frequently,7,extra large,4.737064427965325,22.48900495113501,2.420806450151298,92.56776557750337,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609
17,17,overweight,female,pescatarian,daily,wood,public,,often,279.16378795668993,rarely,948,large,2.741880530939052,3.1815287570404536,13.971917581173061,38.13175425106226,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1565
18,18,underweight,male,vegan,more frequently,electricity,private,petrol,often,236.6079734012314,very frequently,7622,medium,6.701330462509228,29.57257963187631,8.351692984714122,83.63790981853258,Sometimes,[],['Stove'],5272
19,19,normal,female,omnivore,more frequently,wood,walk/bicycle,,often,277.1194917042252,never,51,small,4.139004075568074,0.0,0.0,19.434312422365203,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220
20,20,normal,male,vegan,twice a day,electricity,private,electric,often,130.54340440109186,rarely,2237,large,3.202330543253413,31.20002413344715,17.424802299408217,112.0,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300
21,21,obese,female,pescatarian,less frequently,wood,public,,never,229.43275576294778,rarely,1804,large,1.2866985776924884,45.733706035239436,1.321268921283937,79.22880864235884,No,['Metal'],"['Stove', 'Oven', 'Microwave']",1024
22,22,overweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,242.34929123234818,never,85,small,2.5872096772311424,32.17555484546122,18.640525956447007,53.025961759966926,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706
23,23,obese,male,vegetarian,daily,coal,private,diesel,often,194.795104592676,frequently,472,small,5.974984087353959,102.69034804545842,0.0,112.0,Yes,"['Paper', 'Glass']",['Microwave'],2582
24,24,overweight,male,vegan,daily,coal,private,diesel,sometimes,198.61721779303983,very frequently,5737,medium,6.998751780643056,64.0826580523535,10.87754866760197,61.3990979558878,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284
25,25,obese,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,292.57231991637997,rarely,88,medium,5.723958505129544,17.106700768412207,0.0,51.1566494496153,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807
26,26,underweight,female,vegan,daily,electricity,public,,often,221.88654700664054,frequently,558,large,3.442812624292002,16.992072253445983,0.0,112.0,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1991
27,27,obese,male,vegetarian,less frequently,electricity,public,,sometimes,238.21775666676257,rarely,752,large,3.7499157197154807,10.340467163180605,0.0,57.90568301437997,Sometimes,['Plastic'],['Stove'],1817
28,28,obese,male,pescatarian,daily,wood,walk/bicycle,,never,280.5063550224329,rarely,71,small,4.228459478692933,43.32070828280727,1.7794170157749436,21.571083079799614,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1490
29,29,underweight,female,omnivore,less frequently,electricity,public,,never,75.56145595045513,frequently,1028,small,4.285543278183281,77.9893551053551,6.033836582289529,44.297268183658595,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561
30,30,obese,female,vegan,more frequently,wood,public,,sometimes,287.5318574164953,frequently,1527,medium,4.216608952016901,53.52227938286623,0.0,64.2312240428688,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202
31,31,underweight,female,vegetarian,daily,coal,walk/bicycle,,sometimes,279.43829230139704,frequently,88,large,8.122125564224998,41.83195275164583,5.1760258297902535,75.9616191749886,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024
32,32,normal,female,pescatarian,daily,natural gas,walk/bicycle,,never,202.50019072269347,frequently,73,medium,1.9666764063712319,27.66661364582874,0.0,2.231564762750466,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659
33,33,normal,female,pescatarian,daily,wood,private,lpg,often,211.5417902237022,very frequently,8320,small,3.9790787119205655,48.229749895615655,0.0,69.42205627797836,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911
34,34,normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,176.41379751160724,never,72,medium,4.4601602123737205,23.37908043915923,6.4460862507231695,101.72246461247653,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204
35,35,underweight,female,vegan,less frequently,coal,walk/bicycle,,often,255.54200774910885,very frequently,9,large,7.085178373154223,87.1528821171838,5.365910055052616,69.70383874707102,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431
36,36,obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,199.25686216605544,frequently,60,medium,5.581164355178699,78.20976845164225,0.0,41.79200327799259,Sometimes,"['Plastic', 'Glass']",[],1640
37,37,underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,195.95384594262651,frequently,13,medium,5.521760032925737,26.926804177630572,5.860179487876948,90.86595093822051,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648
38,38,underweight,male,omnivore,less frequently,wood,walk/bicycle,,never,289.95390174569894,rarely,32,small,2.1980260314105617,39.61541679822723,4.947031999058485,94.43953544834817,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002
39,39,underweight,female,pescatarian,less frequently,coal,walk/bicycle,,never,275.4125604543962,frequently,49,small,7.482583317864167,67.61722538677722,3.471478313004029,58.42258112214202,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771
40,40,overweight,female,omnivore,twice a day,electricity,public,,never,272.2608666075302,very frequently,1351,extra large,5.692158036746784,16.697374043968594,6.259394010319102,70.91714086302852,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028
41,41,normal,female,vegetarian,more frequently,coal,public,,often,312.0924743015746,very frequently,1726,medium,3.0746977625998726,14.685205495761942,0.0,38.988723032996106,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540
42,42,underweight,female,omnivore,daily,electricity,public,,sometimes,98.3215462843512,never,1021,medium,6.120710879437292,56.54891581621652,0.0,44.01427953721007,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386
43,43,normal,female,pescatarian,daily,coal,walk/bicycle,,sometimes,326.52177632677615,rarely,62,small,5.859309595542354,51.77219928542759,0.0,68.31466406931261,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679
44,44,overweight,male,omnivore,daily,wood,private,electric,often,315.90103225012945,very frequently,9488,small,3.0807926342095313,38.0695706311318,26.510723450212765,29.31333541404741,Yes,['Glass'],[],3141
45,45,normal,male,vegetarian,more frequently,wood,public,,never,329.69449772959655,very frequently,1037,large,6.043740454794632,52.9755555973476,14.484808173586764,74.24346321355195,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627
46,46,underweight,male,pescatarian,less frequently,wood,private,electric,never,131.11052593868035,never,9555,large,7.529141979086507,16.52558915216116,12.445559336891355,72.83956873468438,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188
47,47,underweight,male,pescatarian,twice a day,electricity,private,diesel,never,215.0591574518375,never,9031,extra large,5.529289425250936,25.262651240289934,0.0,56.944417232945085,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174
48,48,overweight,female,vegetarian,more frequently,natural gas,public,,sometimes,314.95530960970075,frequently,1461,large,5.7208553500875725,14.510110504258641,8.817826708123619,83.75437697980148,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327
49,49,overweight,female,vegan,daily,wood,walk/bicycle,,never,218.35167225285568,very frequently,39,medium,3.3574746703885463,16.877881150640683,0.0,51.26235428153916,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822
50,50,obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,198.92747863316959,never,5033,medium,3.8672082061497113,6.002122874510896,10.860642342498013,71.42272998685353,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665
51,51,underweight,male,vegan,daily,electricity,public,,sometimes,289.89269227882966,frequently,1065,extra large,6.035630342777763,69.4341410254411,4.356314876515022,2.153912328877439,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129
52,52,normal,male,pescatarian,less frequently,wood,public,,often,377.74481822292114,rarely,927,medium,0.7421107768045774,20.648530860470892,0.0,68.3961242630919,Yes,"['Paper', 'Glass']",['Oven'],1425
53,53,overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,220.40880444787197,frequently,2277,large,5.740350583916294,80.53495042216775,4.695010020537811,112.0,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690
54,54,obese,female,omnivore,more frequently,natural gas,walk/bicycle,,never,271.8600912812001,rarely,97,medium,6.907111824540063,0.0,0.0,35.38784268046203,Sometimes,['Metal'],"['Stove', 'Microwave']",1717
55,55,normal,male,vegan,less frequently,coal,private,lpg,sometimes,238.86518833040788,frequently,7272,large,1.1547171468079247,54.82981636218657,0.0,91.37281741369173,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060
56,56,obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,258.59634273559294,rarely,5260,extra large,6.3792013201195426,40.031771933428764,0.0,78.88876839110799,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262
57,57,overweight,female,pescatarian,more frequently,coal,public,,often,273.7859389090158,rarely,1750,extra large,7.430188554390192,42.11807907068853,1.6226873038028033,15.139331941518243,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674
58,58,obese,male,vegetarian,daily,natural gas,private,hybrid,often,257.121101196043,frequently,2998,small,5.20693342463484,36.59239564492234,9.049352891597955,99.56756533093453,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3135
59,59,underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,218.4285069326271,rarely,9147,extra large,3.8667775880305433,30.54351053685452,0.0,112.0,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465
60,60,overweight,male,pescatarian,twice a day,electricity,public,,never,212.07360838452638,rarely,1947,extra large,6.496351973202829,11.9616398409052,15.469325367334466,98.98446866958128,Sometimes,[],['Stove'],1984
61,61,overweight,female,vegetarian,less frequently,electricity,private,lpg,often,197.68889367998713,very frequently,4885,large,6.908019102012535,70.9069745339253,3.613828280423693,112.0,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246
62,62,obese,female,omnivore,daily,electricity,walk/bicycle,,never,208.75436063103885,frequently,20,large,4.718189871167821,17.70882481115419,0.0,52.12328548171935,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351
63,63,obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,238.40862462732423,never,23,extra large,4.818824356065065,13.004056902758617,9.782824338610837,95.66026456265192,No,['Glass'],['Stove'],1929
64,64,obese,male,omnivore,twice a day,electricity,walk/bicycle,,often,126.7057014681936,frequently,34,large,7.440794336263842,15.106220412647186,1.6789570744736486,88.95941098309062,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719
65,65,obese,female,vegetarian,twice a day,coal,walk/bicycle,,never,306.7308549177465,frequently,59,large,4.570810951877388,84.66626140783859,0.0,44.158799117750334,Yes,['Paper'],"['Stove', 'Oven']",2336
66,66,normal,female,vegetarian,less frequently,wood,public,,often,200.8923315815932,never,682,small,10.359889516011556,33.78179638465489,0.9386306693955555,33.22790960827005,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270
67,67,obese,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,201.18913007813015,never,10,large,5.832419578757776,19.219217230797295,25.180316210496407,112.0,Yes,['Glass'],"['Stove', 'Microwave']",1803
68,68,normal,female,vegan,daily,electricity,walk/bicycle,,sometimes,260.5238027925846,very frequently,10,medium,8.100035432397588,0.0,11.955818017505113,41.988878577128105,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1816
69,69,normal,male,omnivore,twice a day,coal,private,petrol,sometimes,201.84826969291873,never,7964,small,3.9319995772646723,62.18292155912089,0.0,53.111185032645686,No,"['Paper', 'Plastic']","['Stove', 'Oven']",4638
70,70,underweight,female,omnivore,twice a day,coal,private,hybrid,often,194.15584321993458,rarely,3606,small,2.2806470341402796,24.76612560502545,13.622012454581256,55.71798349039056,Sometimes,"['Plastic', 'Metal']",['Stove'],1909
71,71,normal,male,vegan,less frequently,natural gas,public,,sometimes,195.0860495941845,frequently,536,large,6.104435319215376,41.89177873290278,15.692067063511324,68.23489609302399,Yes,['Plastic'],['Oven'],2021
72,72,normal,male,omnivore,more frequently,natural gas,public,,never,318.59347389441024,rarely,1564,large,2.190009202732111,89.14426375951527,18.691397521850202,89.23269509766868,No,['Metal'],"['Oven', 'Microwave']",1896
73,73,obese,male,vegan,daily,electricity,walk/bicycle,,never,186.54482639731646,frequently,78,small,7.676940156118837,45.38188898156348,28.242850184644062,110.14742216345654,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1770
74,74,normal,female,omnivore,daily,wood,walk/bicycle,,often,147.948168242442,never,98,small,3.88825960127188,0.0,19.101329307838196,52.02690005717932,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323
75,75,normal,female,pescatarian,daily,wood,public,,never,289.4151322143002,very frequently,1820,small,5.280073947520195,48.39668647891033,0.0,72.81254372373743,Yes,['Plastic'],"['Grill', 'Airfryer']",2269
76,76,obese,male,vegan,more frequently,wood,public,,never,114.6994942704309,never,243,extra large,7.400247056734367,52.87615108707969,1.8964343304510909,45.09052044063536,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918
77,77,overweight,female,vegan,daily,natural gas,public,,sometimes,293.8639041524251,very frequently,1586,small,5.030316776855771,34.95867573173187,7.547604536906464,60.4945010146495,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477
78,78,normal,female,omnivore,daily,natural gas,walk/bicycle,,never,379.3453381717435,frequently,11,large,2.7438630497342036,44.04554068654651,6.4288441718737594,87.67175292350386,No,['Paper'],"['Stove', 'Oven']",1444
79,79,obese,female,vegetarian,twice a day,natural gas,walk/bicycle,,never,385.5012133469531,never,72,small,5.47523717872459,51.03408524675654,2.5716300874535833,98.85682319867698,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254
80,80,overweight,male,vegetarian,more frequently,electricity,public,,never,161.2858640483385,never,1157,small,2.5460732095822074,37.92423992943446,18.95138895261297,51.87106886630363,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1411
81,81,underweight,male,pescatarian,daily,wood,public,,often,275.9470411198828,never,1380,extra large,4.417511443947447,79.87101105450004,8.589374448735303,79.63272489595103,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605
82,82,obese,male,vegetarian,less frequently,electricity,private,lpg,often,286.4217481019575,never,5765,medium,5.755224954187898,41.25630959420529,0.0,112.0,No,['Paper'],"['Stove', 'Oven']",3054
83,83,overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,never,268.4570534629938,very frequently,92,extra large,4.636116223242856,98.07815489467973,8.178310523880288,37.60601592188426,Yes,[],"['Grill', 'Airfryer']",2902
84,84,overweight,male,pescatarian,less frequently,electricity,private,lpg,never,335.85610104966435,frequently,7797,large,4.232755852240125,70.74408276169729,7.7342468106047315,42.126730315525755,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301
85,85,normal,female,vegan,twice a day,electricity,walk/bicycle,,often,275.1032677148839,very frequently,50,small,4.771251511409705,42.45827176628892,14.18573651086588,43.02628902244092,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308
86,86,normal,female,vegetarian,more frequently,wood,private,petrol,often,167.52706589729996,frequently,7629,medium,4.394081236974637,6.194697773024984,9.325493180997192,103.6667527687192,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132
87,87,overweight,male,vegetarian,daily,wood,private,petrol,sometimes,278.0318904225634,frequently,2367,medium,7.690390746042309,10.147946656758137,0.0,92.33700846293574,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993
88,88,overweight,female,omnivore,daily,wood,private,petrol,often,250.77360420135227,frequently,3960,medium,8.281425976359408,49.713876374307716,7.625995473425085,56.745900380281974,Yes,"['Paper', 'Plastic']",[],3098
89,89,overweight,female,vegan,twice a day,coal,walk/bicycle,,sometimes,380.0424427517617,rarely,42,extra large,5.030177079478397,60.91268613480115,6.724988498531337,112.0,Yes,"['Plastic', 'Metal']",[],1364
90,90,normal,female,omnivore,daily,coal,private,lpg,sometimes,341.4169813661599,rarely,6455,large,2.8480205198163935,10.977515319224793,2.464851631078144,57.606584892194576,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941
91,91,overweight,female,vegetarian,more frequently,electricity,walk/bicycle,,never,260.4281243772945,frequently,41,large,5.835798852985189,56.50864859108697,14.393069512487148,112.0,Sometimes,['Paper'],['Microwave'],1349
92,92,overweight,female,pescatarian,daily,natural gas,walk/bicycle,,often,323.31915929638546,never,71,medium,9.059901468864602,53.37111319293618,0.0,50.99557190434976,Yes,"['Plastic', 'Glass']",['Microwave'],1038
93,93,obese,male,vegetarian,twice a day,wood,walk/bicycle,,never,217.2553206229099,never,39,medium,6.015822128975907,61.1160040299481,0.9163687161574785,83.01512630361404,No,"['Plastic', 'Glass']",[],1815
94,94,overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,194.13286830730027,very frequently,50,extra large,4.4126422052597345,62.63481512201107,5.503614958916293,112.0,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2566
95,95,overweight,female,vegan,twice a day,wood,private,electric,sometimes,189.79559099505266,very frequently,8707,medium,3.411263463526096,19.854744212353168,14.016838794985155,111.78227547902611,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439
96,96,obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,277.69890148226915,very frequently,167,small,2.690170201784294,57.982744366525424,7.861754457020814,62.78001467643716,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056
97,97,overweight,female,pescatarian,more frequently,natural gas,public,,often,113.38533945594628,very frequently,631,medium,8.20096399939562,32.93935438789102,0.0,48.58068827793901,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299
98,98,overweight,male,vegan,twice a day,electricity,public,,never,325.2012047962788,rarely,194,large,4.776813126989663,64.62534979019631,0.0,85.0792307584754,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492
99,99,underweight,female,omnivore,daily,coal,walk/bicycle,,often,261.52902219450056,rarely,46,medium,7.80173927240976,36.631903421898734,10.525897855641496,98.39419381100356,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692
100,100,obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,304.2198208537419,frequently,37,extra large,2.1034571995605744,55.54703186656052,6.67779280728374,33.52496018384244,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2581
101,101,overweight,male,vegetarian,less frequently,wood,walk/bicycle,,sometimes,258.81798675680994,rarely,31,large,8.22617902715967,13.290903673462317,7.269988004758902,78.39752841741988,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950
102,102,normal,male,vegan,twice a day,coal,private,lpg,often,163.17579916320787,never,2880,small,8.163421800664302,44.093125702376014,0.0,73.87669794471401,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923
103,103,overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,294.63136786949366,never,6,extra large,4.349954676469284,11.073375816909607,11.990351946156524,48.510796290813204,Yes,['Paper'],['Stove'],1751
104,104,underweight,female,pescatarian,more frequently,coal,walk/bicycle,,sometimes,287.14543508001987,very frequently,40,small,5.7464124833531045,57.30291219274741,0.0,74.53253994406738,Sometimes,['Glass'],"['Stove', 'Microwave']",2562
105,105,overweight,male,vegan,more frequently,wood,walk/bicycle,,never,343.01189459140164,frequently,1,large,0.0,61.753411570727266,0.0,97.78722053316483,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456
106,106,overweight,female,vegetarian,more frequently,electricity,public,,sometimes,205.95006031729204,never,1341,extra large,5.32665701462856,31.88268266491655,0.0,39.62064671566571,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657
107,107,normal,female,pescatarian,twice a day,electricity,public,,often,210.3236269623215,very frequently,393,small,7.061489486029194,57.16787585626659,15.093798387793951,76.99660877693744,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758
108,108,obese,female,vegan,daily,natural gas,public,,never,219.98188414614128,frequently,191,medium,7.722157960932785,43.163340080347716,2.270109048057099,75.08840641641237,Sometimes,"['Plastic', 'Glass']",['Microwave'],2184
109,109,obese,female,pescatarian,twice a day,coal,public,,sometimes,147.92847687577898,very frequently,131,extra large,7.171144865518746,23.43209486608962,1.5084061368120611,64.0296583249992,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009
110,110,underweight,male,omnivore,daily,wood,private,diesel,often,211.2320764862025,very frequently,1419,large,8.88345648513721,58.75910305817149,3.5460626697137894,58.26033987245687,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748
111,111,normal,female,vegan,daily,electricity,private,electric,never,214.69211888721617,rarely,9159,small,9.642897569608081,72.92585231940969,10.225463073183931,102.98392694150266,No,[],['Microwave'],1122
112,112,obese,male,vegetarian,daily,wood,private,hybrid,never,406.0830551799578,never,8016,small,3.8558817867377084,55.11416738360761,0.0,66.90589648686162,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810
113,113,overweight,female,omnivore,daily,electricity,walk/bicycle,,never,119.25918783136623,never,87,medium,8.494069010958302,26.543609269547833,0.0,72.90524690931058,No,['Plastic'],['Microwave'],1346
114,114,underweight,female,vegan,twice a day,natural gas,walk/bicycle,,never,81.40781579488046,rarely,3,small,3.6723447802620064,87.41039288065375,17.995198284379946,61.34555143962119,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",671
115,115,underweight,female,omnivore,twice a day,wood,walk/bicycle,,often,358.7552373310813,frequently,13,extra large,4.737151844096763,23.078702901047432,0.0,59.39063615701168,Yes,"['Paper', 'Glass']",['Microwave'],1695
116,116,normal,female,omnivore,more frequently,electricity,walk/bicycle,,never,156.92480492222458,never,74,large,0.7885331070753052,29.758506206413294,0.0,62.58933371571523,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",810
